id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
12316,VenusEnergy,Lithuania,2018,5986183.0,0.01,0.008,0.002,0.0,"(0, 2)"
23416,GreenEnergyCoin,Netherlands,2018,0.0,0.018,0.01,0.006,0.002,"(4, 4)"
1553,HydroMiner,Austria,2017,3500000.0,0.014,0.01,0.0,0.004,"(2, 1)"
17028,PowerCorp,"Hong Kong SAR, China",2018,0.0,0.008,0.006,0.0,0.002,"(4, 4)"
8483,Emyron Coin,United States,2018,0.0,0.017,0.0,0.011,0.006,"(4, 4)"
6058,HERO Token,British Virgin Islands,2018,36416517.0,0.011,0.0,0.011,0.0,"(2, 0)"
21656,CCET Project,Singapore,2018,0.0,0.008,0.008,0.0,0.0,"(4, 4)"
2732,Skychain,Russian Federation,2018,9815000.0,0.006,0.0,0.004,0.002,"(0, 2)"
11647,Minery,Russian Federation,2018,175492.0,0.014,0.01,0.002,0.002,"(4, 0)"
4719,XiWATT,United States,2018,0.0,0.01,0.008,0.002,0.0,"(4, 4)"
11110,PowerLoan,"Hong Kong SAR, China",2018,1621950.0,0.006,0.006,0.0,0.0,"(3, 1)"
13271,GreenX,Singapore,2018,2100000.0,0.012,0.006,0.002,0.004,"(3, 1)"
7790,TraXion,Philippines,2018,0.0,0.011,0.0,0.009,0.002,"(4, 4)"
17767,Grapevine World,Austria,2018,0.0,0.011,0.0,0.011,0.0,"(4, 4)"
338,DENTALFIX,Russian Federation,2017,0.0,0.002,0.0,0.0,0.002,"(4, 4)"
997,Gene Blockchain Token,United Kingdom,2017,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
1508,Robomed Network,Russian Federation,2017,0.0,0.002,0.0,0.002,0.0,"(4, 4)"
1525,WHA Project,Russian Federation,2017,0.0,0.004,0.0,0.002,0.002,"(4, 4)"
2513,Synthium Health,United States,2018,129562181.0,0.015,0.0,0.011,0.004,"(2, 0)"
3074,Healthureum,Estonia,2018,40000000.0,0.006,0.0,0.004,0.002,"(2, 0)"
3201,Vinnd,China,2018,0.0,0.006,0.002,0.004,0.0,"(4, 4)"
3358,WELL,United States,2018,15000000.0,0.015,0.0,0.015,0.0,"(0, 2)"
3366,SmartHealthcareToday,Estonia,2018,7430.0,0.006,0.0,0.006,0.0,"(4, 2)"
9735,NWP solution,Estonia,2018,0.0,0.011,0.002,0.009,0.0,"(4, 4)"
10123,MedicoHealth,Switzerland,2018,39999200.0,0.008,0.0,0.006,0.002,"(2, 0)"
11865,Escobarcoin,United Kingdom,2018,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
13535,flyCARE,Belgium,2018,0.0,0.014,0.0,0.009,0.006,"(4, 4)"
15120,THEBIKECOIN,"Hong Kong SAR, China",2018,0.0,0.011,0.0,0.009,0.002,"(4, 4)"
16818,Helix3,United States,2018,0.0,0.011,0.0,0.011,0.0,"(4, 4)"
21233,dClinic,Singapore,2018,20500000.0,0.008,0.0,0.006,0.002,"(0, 2)"
21246,CareParrot,United States,2018,0.0,0.013,0.0,0.011,0.002,"(4, 4)"
22150,BitMED,Cayman Islands,2018,0.0,0.008,0.0,0.006,0.002,"(4, 4)"
12873,HUSSY,Estonia,2018,10.0,0.008,0.0,0.002,0.006,"(1, 4)"
9287,Wind Energy Mining,Latvia,2018,0.0,0.018,0.014,0.0,0.004,"(4, 4)"
1050,GMP Project,Russian Federation,2017,0.0,0.008,0.006,0.002,0.0,"(4, 4)"
5113,KWHCoin,United States,2018,366859.0,0.01,0.008,0.0,0.002,"(1, 2)"
5759,NiQBiX,Portugal,2018,0.0,0.01,0.004,0.006,0.0,"(4, 4)"
12320,Industria,United Kingdom,2018,0.0,0.008,0.006,0.002,0.0,"(4, 4)"
18784,Bitminer Factory,Bosnia and Herzegovina,2018,2070410.0,0.014,0.006,0.004,0.004,"(3, 1)"
397,Blocklancer,Austria,2017,5475789.0,0.004,0.0,0.002,0.002,"(0, 2)"
528,Seratio Platform,United Kingdom,2017,0.0,0.004,0.0,0.0,0.004,"(4, 4)"
1919,CyberTrust,Luxembourg,2018,17635787.0,0.004,0.0,0.0,0.004,"(0, 2)"
12178,Airchain Network,Poland,2018,0.0,0.008,0.0,0.004,0.004,"(4, 4)"
18054,Laccoin,Canada,2018,0.0,0.011,0.0,0.011,0.0,"(4, 4)"
6820,TuteCoin,United Kingdom,2018,0.0,0.006,0.0,0.006,0.0,"(4, 4)"
8623,TRIPBIT,Australia,2018,0.0,0.002,0.0,0.0,0.002,"(4, 4)"
10475,Clear Shop Vision - ORC,Hungary,2018,0.0,0.002,0.002,0.0,0.0,"(4, 4)"
12397,TrustedCars Flex,Germany,2018,8120000.0,0.002,0.0,0.002,0.0,"(0, 2)"
19428,LEONARDO,Cayman Islands,2018,0.0,0.002,0.0,0.002,0.0,"(4, 4)"
19556,Sansox,Finland,2018,76102.0,0.004,0.002,0.002,0.0,"(0, 0)"
21179,BEATR_X,Switzerland,2018,0.0,0.012,0.006,0.006,0.0,"(4, 4)"
21326,SprinkleCoin,Georgia,2018,10816979.0,0.008,0.0,0.006,0.002,"(0, 2)"
3722,Cher Ecocity,Singapore,2018,0.0,0.008,0.006,0.002,0.0,"(4, 4)"
1608,Simple Token,"Hong Kong SAR, China",2017,22000000.0,0.01,0.0,0.006,0.004,"(0, 2)"
3708,eWaiter,Russian Federation,2018,400000.0,0.006,0.0,0.004,0.002,"(3, 3)"
4465,CVProof,Estonia,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
6070,LanceChain,Bulgaria,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
7424,FAIMA,Germany,2018,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
8473,Etheal,Estonia,2018,820000.0,0.011,0.0,0.009,0.002,"(1, 1)"
9560,Flat Earth Coin,Italy,2018,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
12405,BullToken,Norway,2018,1585200.0,0.002,0.0,0.0,0.002,"(3, 1)"
12683,CryptoHunters,Romania,2018,15726826.0,0.008,0.0,0.0,0.008,"(0, 2)"
13359,Doctor Smart,Cayman Islands,2018,0.0,0.012,0.0,0.009,0.004,"(4, 4)"
22485,Izzy Care,United States,2018,0.0,0.011,0.0,0.011,0.0,"(4, 4)"
18739,CustomCoin Platform,Switzerland,2018,0.0,0.002,0.0,0.0,0.002,"(4, 4)"
22626,Auxledger,Estonia,2018,2140000.0,0.002,0.0,0.0,0.002,"(3, 1)"
2499,trade.io,Switzerland,2018,31169749.0,0.008,0.0,0.004,0.004,"(0, 2)"
8744,Medcash,"Hong Kong SAR, China",2018,0.0,0.006,0.0,0.004,0.002,"(4, 4)"
794,Robot Vera,Russian Federation,2017,271285.0,0.006,0.0,0.006,0.0,"(1, 2)"
1898,eSports.com,Malta,2018,0.0,0.002,0.0,0.002,0.0,"(4, 4)"
6304,Red Lanterns,Estonia,2018,0.0,0.009,0.0,0.009,0.0,"(4, 4)"
8609,Leap With Alice,Switzerland,2018,0.0,0.008,0.0,0.006,0.002,"(4, 4)"
13131,Cubomania,Ukraine,2018,796282.0,0.002,0.0,0.002,0.0,"(1, 1)"
21496,Global Tech,Australia,2018,0.0,0.008,0.0,0.004,0.004,"(4, 4)"
